Age_numeric,gender_male,education_numeric,wealth_numeric,mobile_money_binary,transactional_account_binary,savings_frequency_numeric,runs_out_of_money,income_numeric,access_agents,urban,region_North East,region_North West,region_South East,region_South South,region_South West,year_2020,year_2023,Population
0.060278904,0.1471395,0.981149,-0.37740204,-0.006662419,0.36685666,0.46808466,-0.15687534,-0.20743679,1.4381979,-0.123605706,-0.003379709,-0.04069523,-0.07283166,-0.026553247,0.04588192,0.0,-0.38482258,-0.20774719
-0.019209541,0.07159972,0.07698089,-0.0734456,-0.0034722374,-0.17273186,-0.116351925,0.24194336,0.029586015,-1.7425209,-0.07982939,0.042350866,-0.034231596,-0.060704045,-0.029460952,0.029170182,0.0,0.23829779,-0.20437366
-0.21486995,0.09317661,-0.2253194,-0.3559715,-0.0043757483,-0.233314,-0.08156409,0.22212097,-0.0327608,-1.7018543,-0.10891692,0.028844712,-0.043104514,-0.028944528,-0.018376099,-0.002705609,0.0,0.16034004,-0.20423529
-0.09876232,0.100803986,-0.19182287,-0.12596679,-0.004344214,-0.17939964,-0.1052211,-0.3193981,-0.09890081,-1.673351,-0.0876497,-0.008558367,-0.015751634,-0.05293951,-0.03231062,0.06108477,0.0,0.115658395,-0.18220812
0.07219091,-0.06510416,0.116158955,-0.118156366,-0.0037180977,-0.1427737,-0.04643442,-0.2874855,-0.1561724,-1.7394594,-0.104355514,-0.056958854,-0.029989358,-0.050351992,-0.05617681,0.028394267,0.0,0.1340775,-0.20296867
0.2069156,0.106464006,0.10630118,-0.3859981,-0.0036932854,-0.1730603,-0.1014474,-0.2311224,-0.090028204,-1.7919375,-0.09296485,-0.016492922,-0.048506275,-0.050510958,-0.03313467,0.03744433,0.0,0.0461811,-0.19773643
-0.17480356,-0.05862009,-0.22016956,-0.09146631,-0.004489934,-0.14031403,-0.07376131,0.31833163,-0.14523333,-1.5135207,-0.06242288,0.01959665,-0.003485545,-0.054307487,-0.041414227,0.030179292,0.0,0.201256,-0.23670112
0.123290494,0.06922451,-0.17961012,-0.08073375,-0.0043275347,-0.16407277,-0.0868612,0.30029514,-0.10596196,-1.5677549,-0.07834212,0.022053553,-0.019511638,-0.045256987,-0.025763063,0.045141798,0.0,0.20259319,-0.23032954
-0.006814992,-0.08874449,-0.0027575493,-0.36157706,-0.0038178575,-0.1495433,-0.062379852,0.30372798,-0.11427146,-1.6830626,-0.08278984,0.011857371,-0.049619395,-0.041915387,-0.026647612,0.040428907,0.0,0.17334874,-0.20302922
-0.09312722,0.15884043,0.024103029,0.0941151,-0.011263498,0.42081335,0.39835754,0.10104834,0.095998086,1.1312163,0.3632569,-0.0025481926,-0.107893065,-0.05750418,-0.013386342,0.05820566,0.0,-0.478207,0.10906402
